--------------------------------------------------------------------
    Bytes Format Units   Label    Explanations
--------------------------------------------------------------------
    1-  5  F5.2  [cm/s2] logg     [0/5] Surface gravity
    7- 12  F6.0  K       Teff     [2000/50000] Effective temperature
   14- 17  F4.1  [Sun]   Z        [-5/1] Metallicity (log[M/H])
   19- 22  F4.1  km/s    xi       [0/8] Microturbulent velocity
   24- 30  F7.4  ---     a        Quadratic ld coefficient a (G2)
   32- 38  F7.4  ---     b        Quadratic ld b (G2)
   40- 41  A2    ---     Filt     Filter (G1)
   43      A1    ---     Met      [LF] Method 
   45- 51  A7    ---     Mod      Model (ATLAS or PHOENIX)
---------------------------------------------------------------------
 3.00   9000 -5.0  2.0  0.2331  0.2853 Kp L ATLAS 
 3.50   9000 -5.0  2.0  0.2390  0.2804 Kp L ATLAS 
 4.00   9000 -5.0  2.0  0.2483  0.2736 Kp L ATLAS 
 4.50   9000 -5.0  2.0  0.2610  0.2630 Kp L ATLAS 
 5.00   9000 -5.0  2.0  0.2755  0.2492 Kp L ATLAS 
 2.00   9250 -5.0  2.0  0.2342  0.2873 Kp L ATLAS 
 2.50   9250 -5.0  2.0  0.2240  0.2881 Kp L ATLAS 
 3.00   9250 -5.0  2.0  0.2217  0.2864 Kp L ATLAS 
 3.50   9250 -5.0  2.0  0.2244  0.2835 Kp L ATLAS 
 4.00   9250 -5.0  2.0  0.2303  0.2798 Kp L ATLAS 
 4.50   9250 -5.0  2.0  0.2400  0.2729 Kp L ATLAS 
 5.00   9250 -5.0  2.0  0.2524  0.2621 Kp L ATLAS 
 2.00   9500 -5.0  2.0  0.2294  0.2868 Kp L ATLAS 
 2.50   9500 -5.0  2.0  0.2173  0.2876 Kp L ATLAS 
 3.00   9500 -5.0  2.0  0.2129  0.2864 Kp L ATLAS 
 3.50   9500 -5.0  2.0  0.2133  0.2846 Kp L ATLAS 
 4.00   9500 -5.0  2.0  0.2167  0.2827 Kp L ATLAS 
 4.50   9500 -5.0  2.0  0.2233  0.2788 Kp L ATLAS 
 5.00   9500 -5.0  2.0  0.2332  0.2713 Kp L ATLAS 
 2.00   9750 -5.0  2.0  0.2249  0.2871 Kp L ATLAS 
 2.50   9750 -5.0  2.0  0.2112  0.2875 Kp L ATLAS 
 3.00   9750 -5.0  2.0  0.2056  0.2862 Kp L ATLAS 
 3.50   9750 -5.0  2.0  0.2040  0.2854 Kp L ATLAS 
 4.00   9750 -5.0  2.0  0.2056  0.2842 Kp L ATLAS 
 4.50   9750 -5.0  2.0  0.2099  0.2822 Kp L ATLAS 
 5.00   9750 -5.0  2.0  0.2173  0.2775 Kp L ATLAS 
 2.00  10000 -5.0  2.0  0.2210  0.2875 Kp L ATLAS 
 2.50  10000 -5.0  2.0  0.2064  0.2871 Kp L ATLAS 
 3.00  10000 -5.0  2.0  0.1997  0.2855 Kp L ATLAS 
 3.50  10000 -5.0  2.0  0.1971  0.2848 Kp L ATLAS 
 4.00  10000 -5.0  2.0  0.1972  0.2845 Kp L ATLAS 
 4.50  10000 -5.0  2.0  0.1996  0.2836 Kp L ATLAS 
 5.00  10000 -5.0  2.0  0.2043  0.2813 Kp L ATLAS 
 2.00  10500 -5.0  2.0  0.2135  0.2893 Kp L ATLAS 
 2.50  10500 -5.0  2.0  0.1976  0.2870 Kp L ATLAS 
 3.00  10500 -5.0  2.0  0.1900  0.2842 Kp L ATLAS 
 3.50  10500 -5.0  2.0  0.1860  0.2832 Kp L ATLAS 
 4.00  10500 -5.0  2.0  0.1843  0.2833 Kp L ATLAS 
 4.50  10500 -5.0  2.0  0.1843  0.2839 Kp L ATLAS 
 5.00  10500 -5.0  2.0  0.1856  0.2839 Kp L ATLAS 
 2.50  11000 -5.0  2.0  0.1899  0.2874 Kp L ATLAS 
 3.00  11000 -5.0  2.0  0.1820  0.2829 Kp L ATLAS 
 3.50  11000 -5.0  2.0  0.1775  0.2810 Kp L ATLAS 
 4.00  11000 -5.0  2.0  0.1752  0.2807 Kp L ATLAS 
